食物名稱,顏色,六大類,100g面積(cm^2),熱量(kcal),糖質總量(g),粗脂肪(g),粗蛋白(g),水分(kg),鉀(g),磷(g),維生素A總量(mg),維生素D總量(ug),維生素E總量(mg),維生素K1(mg),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),,每單位重(g)
mango,"(255, 41, 10)",6,100,75,14.72222222,0.416666667,0.833333333,0.117916667,0.194444444,0.016666667,0.398314982,0,1.486111111,0,0,0,,72
olives,"(7, 255, 255)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
peach,"(224, 255, 8)",6,100,43.33333333,7.111111111,0.222222222,1,0.098666667,0.227777778,0.023333333,0.043710377,0,1.077777778,0,0,0,,90
lemon,"(102, 8, 255)",6,100,35.86956522,0.97826087,0.543478261,0.760869565,0.098913043,0.163043478,0.023913043,0,0,0.597826087,0,0,0,,92
pear,"(255, 61, 6)",6,100,36.88239388,7.863604732,0.139178845,0.208768267,0.059359777,0.077940153,0.007654836,0.001880795,0,0.090466249,0,0,0,,143.7
fig,"(255, 194, 7)",6,100,81.70731707,7.43902439,0.487804878,1.463414634,0.099146341,0.351219512,0.029268293,0.009155497,0,0.975609756,0.025317073,0,0,,82
pineapple,"(255, 122, 8)",6,100,5.008031749,1.096097515,0.009449117,0.066143816,0.008050647,0.015307569,0.001039403,0.000822896,0,0.003779647,0,0,0,,1058.3
grape,"(0, 255, 20)",6,100,766.6666667,0,4.444444444,4.444444444,0.901111111,1.844444444,0.277777778,0.10677344,0,4.444444444,0,0,0,,9
kiwi,"(255, 8, 41)",6,100,71.95121951,12.92682927,0.365853659,0.975609756,0.101585366,0.307317073,0.02804878,0.024536732,0,2.731707317,0,0,0,,82
melon,"(255, 5, 153)",6,100,2.923121894,0.584624379,0.00974374,0.087693657,0.008905778,0.021923414,0.000974374,0.003277174,0,0.012666862,0.000386826,0,0,,1026.3
orange,"(6, 51, 255)",6,100,25.64102564,4.358974359,0.128205128,0.512820513,0.056858974,0.047435897,0.008974359,0.10991761,0,0.096153846,0,0,0,,156
watermelon,"(235, 12, 255)",6,100,1.427953267,0.324534833,0.004327131,0.034617049,0.003929035,0.005235829,0.000519256,0.008927144,0,0.002163566,0,0,0,,2311
steak,"(160, 150, 20)",3,39.36363636,280.1724138,0,24.9137931,26.01724138,0.049741379,0.218965517,0.121551724,0.013979497,0,0.094827586,0,0,0,,116
pork,"(0, 163, 255)",3,34.33333333,51.66374781,0,14.34325744,12.88966725,0.010525394,0.050437828,0.02732049,0.001893312,0,0.101576182,0,0,0,,571
chicken duck,"(140, 140, 140)",3,48.17825,45.06769826,0,14.74661509,20.41005803,0.011257253,0.041586074,0.047775629,0.004821069,0,0.063829787,0,0,0,,175.78
sausage,"(250, 10, 15)",3,90.4,885.616,25.415,65.827,42.49,0.102875,0.708775,0.37935,0.051325826,0,0.375,0,0,0,,40
fried meat,"(20, 255, 0)",3,88.125,259.5238095,0.476190476,1.428571429,57.61904762,0.179761905,0.835714286,0.492857143,0.014300014,0,0.595238095,0,0,0,,42
lamb,"(31, 255, 0)",3,86.25,448.2758621,0,34.48275862,32.4137931,0.104482759,0.448275862,0.231034483,0.020710366,0,0.517241379,0,0,0,,58
sauce,"(255, 31, 0)",7,100,90,0,0,7.8,0.067,0.39,0.123,0,0,0,0,0,0,,100
crab,"(255, 224, 0)",3,21.25,122,0,3.6,20.9,0.0671,0.255,0.234,0.012912913,0,5.99,0,0,0,,100
fish,"(153, 255, 0)",3,72.23333333,403,0,12,20,0.0429,0.424,0.263,0.107507508,0,0.67,0,0,0,,100
shellfish,"(0, 0, 255)",3,100,45.06769826,0,14.74661509,20.41005803,0.011257253,0.041586074,0.047775629,0.004821069,0,0.063829787,0,0,0,,150
shrimp,"(255, 71, 0)",3,25,45.06769826,0,14.74661509,20.41005803,0.011257253,0.041586074,0.047775629,0.004821069,0,0.063829787,0,0,0,,4
soup,"(0, 235, 255)",7,100,17,0,0,0.3,0.094,0.059,0.02,0,0,0.03,0,0,0,,100
bread,"(0, 173, 255)",1,62.28571428,289,4.5,6.3,9.5,0.0342,0.101,0.1,0.011111111,0,1.54,0,0,0,,100
corn,"(31, 0, 255)",1,63.33333333,155.4166667,0.208333333,1.625,4.541666667,0.004958333,0.107916667,0.11375,0.008883884,0,1.3875,0,0,0,,240
hamburger,"(11, 200, 200)",7,61.12048208,453.5211268,6.901408451,10.42253521,12.81690141,0.038591549,0.184507042,0.201408451,0.065981474,0,2.042253521,0,0,0,,71
pizza,"(255, 82, 0)",7,54.13972301,73.19084011,1.002710027,2.357723577,3.25203252,0.011219512,0.033875339,0.033062331,0.012451476,0,0.98102981,0.002948509,0.66395664,0,,369
hanamaki baozi,"(0, 255, 245)",7,47.2692329,266.1865,14.8,4.8,8.8,0.0387,0.088,0.165,0.002102102,0,1.31,0,0,0,,100
wonton dumplings,"(0, 61, 255)",7,47.39740158,216.2320896,1.194029851,11.79104478,9.701492537,0.108208955,0.129850746,0.068656716,0.018824795,0,0.194029851,0,0,0,,67
pasta,"(0, 255, 112)",7,51.39374017,359,0,1.4,13.8,0.0115,0.171,0.136,0,0,0.87,0,0,0,,100
noodles,"(0, 255, 133)",1,51.39374017,357,2.4,1.4,11.5,0.0108,0.101,0.098,0,0,0.36,0,0,0,,100
rice,"(255, 0, 0)",1,61,183,41,0.3,3.1,0.0556,0.04,0.039,0,0,0.04,0,0,0,,119.4
pie,"(255, 163, 0)",7,49.30344213,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
tofu,"(255, 102, 0)",3,49.36666667,196.424,0.1,13.1,13.4,0.066,0.017,0.123,0,0,8.24,0,0,0,,79.32
eggplant,"(194, 255, 0)",5,46.6,12.25490196,1.12745098,0.098039216,0.588235294,0.045490196,0.108333333,0.014215686,0.00147206,0,0.196078431,0,0,0,,204
potato,"(0, 143, 255)",5,46.6,63.63636364,0,0.165289256,2.148760331,0.066528926,0.319008265,0.031404959,0,0,0.016528926,0,0,0,,121
garlic,"(51, 255, 0)",5,46.6,122,1,0.2,6.7,0.0656,0.423,0.135,0,0,0.32,0,0,0,,100
cauliflower,"(0, 82, 255)",5,100,3.789126853,0.411861614,0.016474465,0.296540362,0.015321252,0.043822076,0.006589786,0.000445256,0,0.029654036,0,0,0,,607
tomato,"(0, 255, 41)",5,50,12.47537754,1.4445174,0.065659882,0.525279054,0.062048588,0.142481944,0.015758372,0.333623183,0,0.453053185,0,0,0,,152.3
kelp,"(0, 255, 173)",5,46.6,20,0,0.1,0.8,0.0938,0.007,0.014,0.078678679,0,0.13,0,0,0,,100
seaweed,"(10, 0, 255)",5,46.6,14,0,0.2,0.7,0.0955,0.006,0.008,0.075075075,0,0.48,0,0,0,,100
spring onion,"(173, 255, 0)",5,50,53.53728489,5.162523901,0.382409178,2.676864245,0.175908222,1.242829828,0.158699809,0.237713813,0,2.313575526,0,0,0,,52.3
rape,"(0, 255, 153)",5,46,50,2.083333333,0.833333333,5.833333333,0.399166667,0.916666667,0.133333333,0.86011011,0,3.208333333,0,0,0,,48.01
ginger,"(255, 92, 0)",5,46.6,21,0,0.3,0,0.0943,0.27,0.022,0.00990991,0,0,0,0,0,,100
okra,"(255, 0, 255)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,8
lettuce,"(255, 0, 245)",5,46.6,16,0,0.2,1,0.095,0.31,0.018,0.18018018,0,0,0,0,0,,100
pumpkin,"(255, 0, 102)",5,46.6,10.2351314,0.746887967,0.027662517,0.262793914,0.011037344,0.058921162,0.006362379,0.152891481,0,0.153526971,0,0,0,,723
cucumber,"(255, 173, 0)",5,46.6,18.05555556,1.944444444,0.277777778,1.25,0.133472222,0.213888889,0.034722222,0.107190524,0,0.180555556,0,0,0,,72
white radish,"(255, 0, 20)",5,46.6,1.961852861,0.261580381,0.010899183,0.054495913,0.010376022,0.013623978,0.001852861,0,0,0,0,0,0,,917.5
carrot,"(255, 184, 184)",5,56.6,37.14285714,6,0.095238095,1.047619048,0.085047619,0.188571429,0.027619048,1.025353925,0,0.4,0,0,0,,105
asparagus,"(0, 31, 255)",5,46.6,75.08532423,5.802047782,0.682593857,9.215017065,0.317406143,0.901023891,0.177474403,0.581127202,0,1.911262799,0.107645051,0,0,,29.3
bamboo shoots,"(0, 255, 61)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,6
broccoli,"(0, 71, 255)",5,46.6,30.89430894,1.463414634,0.325203252,2.764227642,0.072195122,0.283739837,0.049593496,0.014160502,0,0.406504065,0.116300813,0,0,,123
celery stick,"(255, 0, 204)",5,46.6,55.55555556,0,0.37037037,2.962962963,0.351851852,1.162962963,0.092592593,0.738516294,0,0.518518519,0,0,0,,27
cilantro mint,"(0, 255, 194)",5,46.6,26,0,0.3,2.3,0.0915,0.303,0.038,1.09129129,0,0.46,0,0,0,,100
snow peas,"(0, 255, 82)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,4.8
cabbage,"(0, 10, 255)",5,46.6,1.676751476,0.196836043,0.007290224,0.09477291,0.006794489,0.013632719,0.002187067,0.001138413,0,0.017496537,0,0,0,,1371.7
bean sprouts,"(0, 112, 255)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,100
onion,"(51, 0, 255)",5,46.6,12.61261261,1.591591592,0.03003003,0.3003003,0.026606607,0.043543544,0.009009009,0,0,0.009009009,0,0,0,,333
pepper,"(0, 194, 255)",5,46.6,50,3.793103448,0.689655172,1.724137931,0.158965517,0.337931035,0.043103448,0.236098167,0,1.293103448,0,0,0,,58
green beans,"(0, 122, 255)",5,46.6,27,0,0.1,1.7,0.0928,0.192,0.04,0.097297297,0,0.13,0,0,0,,100
French beans,"(0, 255, 163)",5,46.6,375,22.5,2.5,21.25,1.1525,2.4125,0.4625,0.352852853,0,4.125,0,0,0,,8
king oyster mushroom,"(255, 153, 0)",5,46.6,57.74647887,4.084507042,0.281690141,3.802816901,0.124084507,0.383098592,0.118309859,0.001268875,0,0.070422535,0,0,0,,71
shiitake,"(0, 255, 10)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,29.25
enoki mushroom,"(255, 112, 0)",5,46.6,37,2.9,0.3,2.6,0.0891,0.385,0.09,0,0,0.01,0,0,0,,100
oyster mushroom,"(143, 255, 0)",5,46.6,28,1.4,0.1,3.3,0.0913,0.248,0.081,0,0,0,0,0,0,,100
white button mushroom,"(82, 0, 255)",5,46.6,24,1.3,0.2,2.3,93.1,128,32,7,0,0.19,0,0,0,,11
salad,"(163, 255, 0)",5,46.6,8,0,0.2,1.2,0.0974,0.289,0.035,1.237537538,0,0.68,0,0,0,,100
other ingredients,"(255, 235, 0)",7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
